job_id~job_title~company_name~company_location~pay_range~job_level~employment_type~job_posted_date~industry
3996677476~Data Scientist (Global Data and Analytics)~Circle K~Scarborough, Ontario, Canada~~Entry level~Full-time~2024-08-10 17:31:35~Retail
3991962024~Senior Analytics Engineer (Remote - CANADA)~Luxury Presence~Greater Montreal Metropolitan Area~CA$120,000.00/yr - CA$150,000.00/yr~Not Applicable~Full-time~2024-08-07 17:31:36~Transportation, Logistics, Supply Chain and Storage
3995660508~Data Science Engineer~Coalition, Inc.~Canada~~Mid-Senior level~Full-time~2024-08-09 17:31:37~Insurance
3938008278~Data/ML Engineer~Raydiant~Ontario, Canada~~Entry level~Full-time~2024-08-07 17:31:38~Software Development
3997862400~Data Engineer~Lyft~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-10 17:31:38~Ground Passenger Transportation
3988395157~Data Engineer~Capgemini~Greater Toronto Area, Canada~~Mid-Senior level~Full-time~2024-08-07 17:31:39~IT Services and IT Consulting, Outsourcing and Offshoring Consulting, and Business Consulting and Services
3965994115~Data Engineer~Semios~Vancouver, British Columbia, Canada~~Associate~Full-time~2024-07-15 17:31:40~Non-profit Organizations and Primary and Secondary Education
3988339663~Data Engineer~Astek~Toronto, Ontario, Canada~~Associate~Contract~2024-08-07 17:31:40~IT Services and IT Consulting
3964675343~Data Engineer (Analytics)~Modus Create~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-07-15 17:31:41~Technology, Information and Internet
3995437031~Data Engineer~Sectigo~Kanata, Ontario, Canada~~Entry level~Full-time~2024-08-07 17:31:41~Software Development
3905970904~Business Intelligence Engineer~Hour Consulting~North York, Ontario, Canada~~Associate~Full-time~2024-04-16 17:31:43~Staffing and Recruiting
3917542176~Business Intelligence Engineer~Hour Consulting~North York, Ontario, Canada~~Associate~Full-time~2024-04-16 17:31:46~Staffing and Recruiting
3991962024~Senior Analytics Engineer (Remote - CANADA)~Luxury Presence~Greater Montreal Metropolitan Area~CA$120,000.00/yr - CA$150,000.00/yr~Not Applicable~Full-time~2024-08-07 17:31:48~Transportation, Logistics, Supply Chain and Storage
3995660508~Data Science Engineer~Coalition, Inc.~Canada~~Mid-Senior level~Full-time~2024-08-09 17:31:50~Insurance
3938008278~Data/ML Engineer~Raydiant~Ontario, Canada~~Entry level~Full-time~2024-08-07 17:31:51~Software Development
3997862400~Data Engineer~Lyft~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-10 17:31:51~Ground Passenger Transportation
3958012050~Analytics Engineer-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-07-15 17:31:52~IT Services and IT Consulting
3988395157~Data Engineer~Capgemini~Greater Toronto Area, Canada~~Mid-Senior level~Full-time~2024-08-07 17:31:53~IT Services and IT Consulting, Outsourcing and Offshoring Consulting, and Business Consulting and Services
3965994115~Data Engineer~Semios~Vancouver, British Columbia, Canada~~Associate~Full-time~2024-07-15 17:31:54~Non-profit Organizations and Primary and Secondary Education
3996039264~Senior Data Engineer~Replicant~Greater Montreal Metropolitan Area~~Not Applicable~Full-time~2024-07-24 17:31:56~Software Development
3917542176~Business Intelligence Engineer~Hour Consulting~North York, Ontario, Canada~~Associate~Full-time~2024-04-16 17:31:58~Staffing and Recruiting
3991962024~Senior Analytics Engineer (Remote - CANADA)~Luxury Presence~Greater Montreal Metropolitan Area~CA$120,000.00/yr - CA$150,000.00/yr~Not Applicable~Full-time~2024-08-07 17:31:59~Transportation, Logistics, Supply Chain and Storage
3995660508~Data Science Engineer~Coalition, Inc.~Canada~~Mid-Senior level~Full-time~2024-08-09 17:31:59~Insurance
3938008278~Data/ML Engineer~Raydiant~Ontario, Canada~~Entry level~Full-time~2024-08-07 17:32:00~Software Development
3997862400~Data Engineer~Lyft~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-10 17:32:01~Ground Passenger Transportation
3958012050~Analytics Engineer-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-07-15 17:32:02~IT Services and IT Consulting
3988395157~Data Engineer~Capgemini~Greater Toronto Area, Canada~~Mid-Senior level~Full-time~2024-08-07 17:32:03~IT Services and IT Consulting, Outsourcing and Offshoring Consulting, and Business Consulting and Services
3965994115~Data Engineer~Semios~Vancouver, British Columbia, Canada~~Associate~Full-time~2024-07-15 17:32:04~Non-profit Organizations and Primary and Secondary Education
3996039264~Senior Data Engineer~Replicant~Greater Montreal Metropolitan Area~~Not Applicable~Full-time~2024-07-24 17:32:05~Software Development
3988339663~Data Engineer~Astek~Toronto, Ontario, Canada~~Associate~Contract~2024-08-07 17:32:05~IT Services and IT Consulting
