job_id~job_title~company_name~company_location~pay_range~job_level~employment_type~job_posted_date~industry
3996677476~Data Scientist (Global Data and Analytics)~Circle K~Scarborough, Ontario, Canada~~Entry level~Full-time~2024-08-10 12:28:25~Retail
3847778634~Data Analyst~Stripe~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-01 12:28:25~Software Development, Financial Services, and Technology, Information and Internet
3908187506~Data Analyst~Stripe~Canada~~Mid-Senior level~Full-time~2024-08-01 12:28:26~Software Development, Financial Services, and Technology, Information and Internet
3847781424~Data Analyst~Stripe~Canada~~Mid-Senior level~Full-time~2024-08-01 12:28:27~Software Development, Financial Services, and Technology, Information and Internet
3888492448~Data Analyst~B3 Systems~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-04-17 12:28:29~Manufacturing, Software Development, and Technology, Information and Internet
3953406304~BI Analyst~Fusemachines~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-07-16 12:28:31~Internet Publishing
3980280311~Junior Data Analyst~Botsford Associates~Toronto, Ontario, Canada~~Associate~Contract~2024-07-25 12:28:32~Business Consulting and Services and Capital Markets
3960764482~Business Intelligence Analyst (Remote - Canada)~Yelp~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-10 12:28:32~Software Development, Technology, Information and Internet, and Advertising Services
3981103807~Business Intelligence Analyst (Remote - Canada)~Yelp~Canada~~Mid-Senior level~Full-time~2024-08-12 12:28:33~Software Development, Technology, Information and Internet, and Advertising Services
3993624380~Data Analyst~Safyre Labs – Jewlr~Greater Toronto Area, Canada~~Associate~Full-time~2024-08-08 12:28:33~Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail
3847778634~Data Analyst~Stripe~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-01 12:28:37~Software Development, Financial Services, and Technology, Information and Internet
3908187506~Data Analyst~Stripe~Canada~~Mid-Senior level~Full-time~2024-08-01 12:28:37~Software Development, Financial Services, and Technology, Information and Internet
3847781424~Data Analyst~Stripe~Canada~~Mid-Senior level~Full-time~2024-08-01 12:28:38~Software Development, Financial Services, and Technology, Information and Internet
3888492448~Data Analyst~B3 Systems~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-04-17 12:28:38~Manufacturing, Software Development, and Technology, Information and Internet
4000544847~Data Analyst~IIQAFGROUP~Ontario, Canada~~Entry level~Full-time~2024-08-14 12:28:40~Hospitality
3953406304~BI Analyst~Fusemachines~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-07-16 12:28:41~Internet Publishing
3980280311~Junior Data Analyst~Botsford Associates~Toronto, Ontario, Canada~~Associate~Contract~2024-07-25 12:28:42~Business Consulting and Services and Capital Markets
3998825943~Business intelligence Analyst~Coveo~Greater Montreal Metropolitan Area~~Mid-Senior level~Contract~2024-08-13 12:28:43~Software Development
