job_id~job_title~company_name~company_location~pay_range~job_level~employment_type~job_posted_date~industry
3889610787~Data Architect - Intermediate~Mindtris~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-04-16 13:46:40~IT Services and IT Consulting
3996481855~Data Architect~Randstad Digital~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 13:46:41~IT Services and IT Consulting, Insurance, and Financial Services
4000826405~Data Architect~Futran Solutions~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-14 02:46:42~Information Technology & Services
3994679540~Solutions Architect~Infotek Consulting Inc.~Toronto, Ontario, Canada~~Director~Contract~2024-08-08 13:46:44~IT Services and IT Consulting
3845358612~Data Architect~TV2 Consulting~Toronto, Ontario, Canada~~Associate~Full-time~2024-03-17 13:46:45~Non-profit Organizations and Primary and Secondary Education
3976926886~Data Governance Architect-Canada~Zortech Solutions~Canada~~Mid-Senior level~Full-time~2024-07-17 13:46:46~Human Resources Services
3926324556~Data Architect~Tiger Analytics~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-05-16 13:46:46~Non-profit Organizations and Primary and Secondary Education
3998811712~Data Architect~VOSKER~Montreal, Quebec, Canada~~Mid-Senior level~Full-time~2024-08-13 23:46:47~Software Development
3928030100~Data Architect - Toronto, ON Canada~Lorven Technologies Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-06-15 13:46:48~IT Services and IT Consulting
3889610787~Data Architect - Intermediate~Mindtris~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-04-16 13:46:48~IT Services and IT Consulting
3996481855~Data Architect~Randstad Digital~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 13:46:50~IT Services and IT Consulting, Insurance, and Financial Services
4000826405~Data Architect~Futran Solutions~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-14 02:46:50~Information Technology & Services
3944113847~Business Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-06-15 13:46:51~Human Resources Services
3845358612~Data Architect~TV2 Consulting~Toronto, Ontario, Canada~~Associate~Full-time~2024-03-17 13:46:54~Non-profit Organizations and Primary and Secondary Education
3976926886~Data Governance Architect-Canada~Zortech Solutions~Canada~~Mid-Senior level~Full-time~2024-07-17 13:46:54~Human Resources Services
3926324556~Data Architect~Tiger Analytics~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-05-16 13:46:55~Non-profit Organizations and Primary and Secondary Education
3998811712~Data Architect~VOSKER~Montreal, Quebec, Canada~~Mid-Senior level~Full-time~2024-08-13 23:46:55~Software Development
3928030100~Data Architect - Toronto, ON Canada~Lorven Technologies Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-06-15 13:46:56~IT Services and IT Consulting
3889610787~Data Architect - Intermediate~Mindtris~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-04-16 13:46:57~IT Services and IT Consulting
3996481855~Data Architect~Randstad Digital~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 13:46:57~IT Services and IT Consulting, Insurance, and Financial Services
4000826405~Data Architect~Futran Solutions~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-14 02:46:59~Information Technology & Services
3944113847~Business Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-06-15 13:47:00~Human Resources Services
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:47:00~IT Services and IT Consulting
3976926886~Data Governance Architect-Canada~Zortech Solutions~Canada~~Mid-Senior level~Full-time~2024-07-17 13:47:02~Human Resources Services
3926324556~Data Architect~Tiger Analytics~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-05-16 13:47:03~Non-profit Organizations and Primary and Secondary Education
3998811712~Data Architect~VOSKER~Montreal, Quebec, Canada~~Mid-Senior level~Full-time~2024-08-13 23:47:03~Software Development
3928030100~Data Architect - Toronto, ON Canada~Lorven Technologies Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-06-15 13:47:04~IT Services and IT Consulting
3889610787~Data Architect - Intermediate~Mindtris~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:05~IT Services and IT Consulting
3996481855~Data Architect~Randstad Digital~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 13:47:07~IT Services and IT Consulting, Insurance, and Financial Services
4000826405~Data Architect~Futran Solutions~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-14 02:47:07~Information Technology & Services
3944113847~Business Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-06-15 13:47:08~Human Resources Services
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:47:08~IT Services and IT Consulting
3890926692~Data Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:09~IT Services and IT Consulting
3926324556~Data Architect~Tiger Analytics~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-05-16 13:47:12~Non-profit Organizations and Primary and Secondary Education
3998811712~Data Architect~VOSKER~Montreal, Quebec, Canada~~Mid-Senior level~Full-time~2024-08-13 23:47:13~Software Development
3928030100~Data Architect - Toronto, ON Canada~Lorven Technologies Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-06-15 13:47:13~IT Services and IT Consulting
3889610787~Data Architect - Intermediate~Mindtris~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:14~IT Services and IT Consulting
3996481855~Data Architect~Randstad Digital~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 13:47:14~IT Services and IT Consulting, Insurance, and Financial Services
4000826405~Data Architect~Futran Solutions~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-14 02:47:15~Information Technology & Services
3944113847~Business Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-06-15 13:47:15~Human Resources Services
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:47:16~IT Services and IT Consulting
3890926692~Data Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:16~IT Services and IT Consulting
3991393615~Lead Data Architect~Hillsdale Investment Management Inc.~Canada~~Mid-Senior level~Full-time~2024-08-10 13:47:17~Financial Services
3926324556~Data Architect~Tiger Analytics~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-05-16 13:47:19~Non-profit Organizations and Primary and Secondary Education
3928030100~Data Architect - Toronto, ON Canada~Lorven Technologies Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-06-15 13:47:20~IT Services and IT Consulting
3889610787~Data Architect - Intermediate~Mindtris~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:22~IT Services and IT Consulting
3996481855~Data Architect~Randstad Digital~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 13:47:23~IT Services and IT Consulting, Insurance, and Financial Services
4000826405~Data Architect~Futran Solutions~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-14 02:47:24~Information Technology & Services
3944113847~Business Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-06-15 13:47:24~Human Resources Services
3991393615~Lead Data Architect~Hillsdale Investment Management Inc.~Canada~~Mid-Senior level~Full-time~2024-08-10 13:47:26~Financial Services
3890926692~Data Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:27~IT Services and IT Consulting
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:47:28~IT Services and IT Consulting
3982789330~UI Architect~Sophos~Canada~~Not Applicable~Full-time~2024-07-31 13:47:30~Software Development
3928030100~Data Architect - Toronto, ON Canada~Lorven Technologies Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-06-15 13:47:31~IT Services and IT Consulting
3889610787~Data Architect - Intermediate~Mindtris~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:32~IT Services and IT Consulting
3996481855~Data Architect~Randstad Digital~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 13:47:33~IT Services and IT Consulting, Insurance, and Financial Services
4000826405~Data Architect~Futran Solutions~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-14 02:47:34~Information Technology & Services
3944113847~Business Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-06-15 13:47:35~Human Resources Services
3991393615~Lead Data Architect~Hillsdale Investment Management Inc.~Canada~~Mid-Senior level~Full-time~2024-08-10 13:47:36~Financial Services
3890926692~Data Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:37~IT Services and IT Consulting
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:47:38~IT Services and IT Consulting
3982789330~UI Architect~Sophos~Canada~~Not Applicable~Full-time~2024-07-31 13:47:39~Software Development
3984740846~Solutions Architect (Hybrid)~Scotiabank~Scarborough, Ontario, Canada~~Not Applicable~Full-time~2024-07-31 13:47:39~Banking
3889610787~Data Architect - Intermediate~Mindtris~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:41~IT Services and IT Consulting
3996481855~Data Architect~Randstad Digital~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 13:47:42~IT Services and IT Consulting, Insurance, and Financial Services
4000826405~Data Architect~Futran Solutions~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-14 02:47:44~Information Technology & Services
3944113847~Business Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-06-15 13:47:45~Human Resources Services
3991393615~Lead Data Architect~Hillsdale Investment Management Inc.~Canada~~Mid-Senior level~Full-time~2024-08-10 13:47:46~Financial Services
3890926692~Data Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:46~IT Services and IT Consulting
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:47:47~IT Services and IT Consulting
3982789330~UI Architect~Sophos~Canada~~Not Applicable~Full-time~2024-07-31 13:47:48~Software Development
3984740846~Solutions Architect (Hybrid)~Scotiabank~Scarborough, Ontario, Canada~~Not Applicable~Full-time~2024-07-31 13:47:48~Banking
3968766171~Data Architect-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 13:47:49~IT Services and IT Consulting
3996481855~Data Architect~Randstad Digital~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 13:47:52~IT Services and IT Consulting, Insurance, and Financial Services
4000826405~Data Architect~Futran Solutions~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-14 02:47:52~Information Technology & Services
3944113847~Business Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-06-15 13:47:53~Human Resources Services
3991393615~Lead Data Architect~Hillsdale Investment Management Inc.~Canada~~Mid-Senior level~Full-time~2024-08-10 13:47:53~Financial Services
3890926692~Data Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:47:55~IT Services and IT Consulting
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:47:55~IT Services and IT Consulting
3982789330~UI Architect~Sophos~Canada~~Not Applicable~Full-time~2024-07-31 13:47:56~Software Development
3984740846~Solutions Architect (Hybrid)~Scotiabank~Scarborough, Ontario, Canada~~Not Applicable~Full-time~2024-07-31 13:47:57~Banking
3968766171~Data Architect-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 13:47:58~IT Services and IT Consulting
3762343395~Data Architect (Canada Secret level Clearance required)~TV2 Consulting~Ottawa, Ontario, Canada~~Associate~Full-time~2023-11-18 13:47:59~Non-profit Organizations and Primary and Secondary Education
4000826405~Data Architect~Futran Solutions~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-14 02:48:00~Information Technology & Services
3944113847~Business Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-06-15 13:48:01~Human Resources Services
3991393615~Lead Data Architect~Hillsdale Investment Management Inc.~Canada~~Mid-Senior level~Full-time~2024-08-10 13:48:02~Financial Services
3890926692~Data Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:48:02~IT Services and IT Consulting
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:48:03~IT Services and IT Consulting
3982789330~UI Architect~Sophos~Canada~~Not Applicable~Full-time~2024-07-31 13:48:04~Software Development
3984740846~Solutions Architect (Hybrid)~Scotiabank~Scarborough, Ontario, Canada~~Not Applicable~Full-time~2024-07-31 13:48:04~Banking
3968766171~Data Architect-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 13:48:06~IT Services and IT Consulting
3762343395~Data Architect (Canada Secret level Clearance required)~TV2 Consulting~Ottawa, Ontario, Canada~~Associate~Full-time~2023-11-18 13:48:06~Non-profit Organizations and Primary and Secondary Education
3888465274~Data Architect with Azure~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:48:07~IT Services and IT Consulting
3944113847~Business Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-06-15 13:48:09~Human Resources Services
3991393615~Lead Data Architect~Hillsdale Investment Management Inc.~Canada~~Mid-Senior level~Full-time~2024-08-10 13:48:10~Financial Services
3890926692~Data Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:48:13~IT Services and IT Consulting
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:48:14~IT Services and IT Consulting
3982789330~UI Architect~Sophos~Canada~~Not Applicable~Full-time~2024-07-31 13:48:15~Software Development
3984740846~Solutions Architect (Hybrid)~Scotiabank~Scarborough, Ontario, Canada~~Not Applicable~Full-time~2024-07-31 13:48:16~Banking
3968766171~Data Architect-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 13:48:16~IT Services and IT Consulting
3762343395~Data Architect (Canada Secret level Clearance required)~TV2 Consulting~Ottawa, Ontario, Canada~~Associate~Full-time~2023-11-18 13:48:17~Non-profit Organizations and Primary and Secondary Education
3888465274~Data Architect with Azure~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:48:18~IT Services and IT Consulting
3980513030~Data Architect~Luxoft~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-07-24 13:48:18~IT Services and IT Consulting
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:48:21~IT Services and IT Consulting
3890926692~Data Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:48:21~IT Services and IT Consulting
3991393615~Lead Data Architect~Hillsdale Investment Management Inc.~Canada~~Mid-Senior level~Full-time~2024-08-10 13:48:22~Financial Services
3982789330~UI Architect~Sophos~Canada~~Not Applicable~Full-time~2024-07-31 13:48:23~Software Development
3984740846~Solutions Architect (Hybrid)~Scotiabank~Scarborough, Ontario, Canada~~Not Applicable~Full-time~2024-07-31 13:48:24~Banking
3968766171~Data Architect-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 13:48:25~IT Services and IT Consulting
3762343395~Data Architect (Canada Secret level Clearance required)~TV2 Consulting~Ottawa, Ontario, Canada~~Associate~Full-time~2023-11-18 13:48:26~Non-profit Organizations and Primary and Secondary Education
3938847750~Data Architect~Staples Canada~Richmond Hill, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-12 13:48:26~Retail
3888465274~Data Architect with Azure~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:48:27~IT Services and IT Consulting
3980513030~Data Architect~Luxoft~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-07-24 13:48:27~IT Services and IT Consulting
3890926692~Data Architect~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:48:31~IT Services and IT Consulting
3991393615~Lead Data Architect~Hillsdale Investment Management Inc.~Canada~~Mid-Senior level~Full-time~2024-08-10 13:48:31~Financial Services
3982789330~UI Architect~Sophos~Canada~~Not Applicable~Full-time~2024-07-31 13:48:32~Software Development
3984740846~Solutions Architect (Hybrid)~Scotiabank~Scarborough, Ontario, Canada~~Not Applicable~Full-time~2024-07-31 13:48:32~Banking
3968766171~Data Architect-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 13:48:34~IT Services and IT Consulting
3762343395~Data Architect (Canada Secret level Clearance required)~TV2 Consulting~Ottawa, Ontario, Canada~~Associate~Full-time~2023-11-18 13:48:34~Non-profit Organizations and Primary and Secondary Education
3938847750~Data Architect~Staples Canada~Richmond Hill, Ontario, Canada~~Mid-Senior level~Full-time~2024-08-12 13:48:35~Retail
3888465274~Data Architect with Azure~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-04-16 13:48:36~IT Services and IT Consulting
3980513030~Data Architect~Luxoft~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-07-24 13:48:36~IT Services and IT Consulting
3996549174~Senior Data Architect~PrecisionERP Incorporated~Greater Toronto Area, Canada~~Mid-Senior level~Contract~2024-08-09 13:48:37~Insurance, Financial Services, and Capital Markets
3968007140~Data Architect /  Data Expert~Zortech Solutions~Edmonton, Alberta, Canada~~Mid-Senior level~Full-time~2024-07-15 13:48:39~IT Services and IT Consulting
3982789330~UI Architect~Sophos~Canada~~Not Applicable~Full-time~2024-07-31 13:48:40~Software Development
3984740846~Solutions Architect (Hybrid)~Scotiabank~Scarborough, Ontario, Canada~~Not Applicable~Full-time~2024-07-31 13:48:40~Banking
3968766171~Data Architect-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-15 13:48:41~IT Services and IT Consulting
